count,url,status,resolves
18,https://www.graalvm.org/latest/reference-manual/native-image/,200,True
18,https://docs.spring.io/spring-boot/docs/current/reference/htmlsingle/#features.aot.native-image,200,True
18,https://docs.spring.io/spring-boot/docs/current/reference/html/native-image.html,200,True
18,https://learn.microsoft.com/en-us/dotnet/standard/serialization/system-text-json-performance,404,False
17,https://github.com/dotnet/runtime/tree/main/src/libraries/System.Text.Json/tests/Benchmarks,404,False
16,https://github.com/dotnet/performance,200,True
16,https://benchmarkdotnet.org/,200,True
13,https://www.techempower.com/benchmarks/,200,True
12,https://github.com/dotnet/BenchmarkDotNet,200,True
9,https://github.com/dotnet/performance/tree/main/src/benchmarks/micro/libraries/System.Text.Json,200,True
9,https://learn.microsoft.com/en-us/dotnet/standard/serialization/system-text-json/source-generation,200,True
6,https://aws.amazon.com/blogs/compute/,200,True
6,https://www.graalvm.org/latest/reference-manual/native-image/spring/,404,False
6,https://docs.spring.io/spring-boot/docs/current/reference/htmlsingle/#features.native-image,200,True
6,https://github.com/oracle/graalvm-reachability-metadata,200,True
6,https://github.com/dotnet/performance/tree/main/src/benchmarks/micro/System.Text.Json,404,False
6,https://devblogs.microsoft.com/dotnet/system-text-json-in-dotnet-7/,200,True
5,https://www.baeldung.com/spring-boot-graalvm-native,404,False
5,https://docs.spring.io/spring-framework/reference/native/index.html,404,False
5,https://devblogs.microsoft.com/dotnet/system-text-json-in-dot-7/,404,False
5,https://learn.microsoft.com/en-us/dotnet/standard/serialization/system-text-json/overview,200,True
5,https://learn.microsoft.com/en-us/dotnet/standard/serialization/system-text-json-migrate-from-newtonsoft-how-to,200,True
4,https://github.com/spring-projects/spring-boot/wiki/Spring-Boot-3.0-Release-Notes,200,True
4,https://www.baeldung.com/spring-boot-graalvm-native-image,404,False
4,https://docs.spring.io/spring-boot/docs/current/reference/htmlsingle/#features.aot,200,True
4,https://github.com/dotnet/performance/tree/main/benchmarks/micro/libraries/System.Text.Json,404,False
4,https://learn.microsoft.com/en-us/dotnet/core/whats-new/dotnet-7/performance-improvements,404,False
4,https://devblogs.microsoft.com/dotnet/dotnet-7-performance-improvements/,404,False
4,https://github.com/dotnet/runtime,200,True
4,https://github.com/dotnet/corefxlab,200,True
4,https://github.com/dotnet/perf,200,True
4,https://learn.microsoft.com/en-us/dotnet/core/whats-new/dotnet-7/#systemtextjson-improvements,200,True
